max_depth,nrounds,eta,gamma,brier_score,auc
6,100,0.14,0.3,0.19156058078313687,0.7781152506536694
6,200,0.14,0.3,0.18782423502911197,0.7872874852772621
6,100,0.15000000000000002,0.3,0.19121649450062,0.7789017238314471
6,200,0.15000000000000002,0.3,0.18755905548159865,0.7879588553942836
6,100,0.16,0.3,0.19084777032198544,0.7798512847537115
6,200,0.16,0.3,0.18729791473254595,0.7886318486896864
6,100,0.17,0.3,0.1906298536810836,0.7802780580714245
6,200,0.17,0.3,0.186611323073595,0.7902170086043848
6,100,0.18,0.3,0.19070431973900512,0.7801014633251065
6,200,0.18,0.3,0.18700169709562914,0.7892637744931938
6,100,0.19,0.3,0.19032987037898613,0.7809525276254976
6,200,0.19,0.3,0.18691548262964,0.7892384976336696
6,100,0.2,0.3,0.1897233187359581,0.782376050750451
6,200,0.2,0.3,0.18587399387916392,0.7918529252580263
3,100,0.1,0.6,0.20295246737975825,0.7462697807255445
3,200,0.1,0.6,0.20032141657233302,0.7537934751734747
3,100,0.11,0.6,0.20262967549629712,0.7472052089131636
3,200,0.11,0.6,0.19989665973928686,0.7550839937868646
3,100,0.12000000000000001,0.6,0.2021712264057658,0.7485849279949714
3,200,0.12000000000000001,0.6,0.19943928805954497,0.7564741145488176
3,100,0.13,0.6,0.2020044230990167,0.7487482118939451
3,200,0.13,0.6,0.1994949727581322,0.7560458259376913
3,100,0.14,0.6,0.20152407597600686,0.7502793253627966
3,200,0.14,0.6,0.19884025917062545,0.7580765639123234
3,100,0.15000000000000002,0.6,0.20140447801136824,0.7506410560102669
3,200,0.15000000000000002,0.6,0.19867542174158456,0.7584229233057164
3,100,0.16,0.6,0.20105764536753826,0.7518091134157783
3,200,0.16,0.6,0.19809383357037855,0.7601960902347957
3,100,0.17,0.6,0.20101673215341767,0.7517686224219209
3,200,0.17,0.6,0.19814259538563198,0.7600222736244794
3,100,0.18,0.6,0.2003728823016657,0.7536931643187497
3,200,0.18,0.6,0.1977213530496064,0.7612794194941965
3,100,0.19,0.6,0.20039405466302987,0.7537390915380642
3,200,0.19,0.6,0.19745290966623805,0.7620659252336192
3,100,0.2,0.6,0.20029518437164065,0.7540099404770072
3,200,0.2,0.6,0.1974211949163458,0.76212790299
4,100,0.1,0.6,0.19917646710767214,0.7573189852712766
4,200,0.1,0.6,0.19619840475145817,0.7656902118657476
4,100,0.11,0.6,0.19920103434124303,0.7572295535367184
4,200,0.11,0.6,0.19617203831948632,0.765714814738454
4,100,0.12000000000000001,0.6,0.19893715859686043,0.7579352387235692
4,200,0.12000000000000001,0.6,0.19565543785146444,0.7670557511358331
4,100,0.13,0.6,0.1984448719016837,0.7593886948271086
4,200,0.13,0.6,0.1952948049623371,0.7681582752887294
4,100,0.14,0.6,0.19813690141618948,0.7601828278376099
4,200,0.14,0.6,0.19502154674840289,0.7687916014391208
4,100,0.15000000000000002,0.6,0.1978602910669784,0.7610937473066763
4,200,0.15000000000000002,0.6,0.1946801125623779,0.7697368416664966
4,100,0.16,0.6,0.1975715442714548,0.7617338994370664
4,200,0.16,0.6,0.19444347638289977,0.7702405406932844
4,100,0.17,0.6,0.1970851815066057,0.7632264820838506
4,200,0.17,0.6,0.19412515499998698,0.7710665258578743
4,100,0.18,0.6,0.19698023146675064,0.7634110818947895
4,200,0.18,0.6,0.1940442700535813,0.7713816498068864
4,100,0.19,0.6,0.19672082326187965,0.7641973047794416
4,200,0.19,0.6,0.19368882510354696,0.7720670789044661
4,100,0.2,0.6,0.196245434099823,0.7653573082778647
4,200,0.2,0.6,0.19353475233731765,0.772518732261176
5,100,0.1,0.6,0.19625304397909393,0.7656900490575232
5,200,0.1,0.6,0.19325735074092998,0.7736218150620516
5,100,0.11,0.6,0.19583037996272146,0.7668123332249925
5,200,0.11,0.6,0.19247023805917948,0.775574098499536
5,100,0.12000000000000001,0.6,0.1954277949835349,0.7677446264715978
5,200,0.12000000000000001,0.6,0.19217838885093325,0.7763364491869463
5,100,0.13,0.6,0.19512320690213603,0.7686758073261063
5,200,0.13,0.6,0.192134405163485,0.7764257797057891
5,100,0.14,0.6,0.19473156042325504,0.7696981488208229
5,200,0.14,0.6,0.1919314354101505,0.7769180911799795
5,100,0.15000000000000002,0.6,0.19439348830514622,0.7706961118435663
5,200,0.15000000000000002,0.6,0.19193153296972648,0.7770630771999275
5,100,0.16,0.6,0.1941883514368487,0.7710117363788298
5,200,0.16,0.6,0.19084860748437887,0.7795001225177004
5,100,0.17,0.6,0.19372403559696713,0.7722882701580578
5,200,0.17,0.6,0.19056979806987764,0.7802167295863961
5,100,0.18,0.6,0.1938822998671697,0.7717488923954459
5,200,0.18,0.6,0.19051261741528827,0.7804493083925853
5,100,0.19,0.6,0.1933227259711744,0.7732668978406929
5,200,0.19,0.6,0.1905359924822536,0.7804502497379692
5,100,0.2,0.6,0.19302375745616762,0.7740976576016546
5,200,0.2,0.6,0.19009260870022052,0.7813957304507462
6,100,0.1,0.6,0.1935063212656622,0.7730833945333372
6,200,0.1,0.6,0.19025483512247252,0.7814518755534513
6,100,0.11,0.6,0.1929138632731726,0.7745459167011186
6,200,0.11,0.6,0.1894637217054822,0.7833978538011004
6,100,0.12000000000000001,0.6,0.1923602682271777,0.7760283050030506
6,200,0.12000000000000001,0.6,0.1891503565904748,0.784004504510474
6,100,0.13,0.6,0.1919658095654116,0.7769398551087933
6,200,0.13,0.6,0.18877973224757172,0.7849870209558171
